Date,Visits
2023-01-01,124
2023-01-01,98
2023-01-01,76
2023-01-01,54
2023-01-01,67
2023-01-01,89
2023-01-01,123
2023-01-01,156
2023-01-01,178
2023-01-01,200
2023-01-01,220
2023-01-01,198
2023-01-01,176
2023-01-01,165
2023-01-01,190
2023-01-01,210
2023-01-01,230
2023-01-01,250
2023-01-01,270
2023-01-01,260
2023-01-01,240
2023-01-01,220
2023-01-01,200
2023-01-01,180
2023-01-02,140
2023-01-02,110
2023-01-02,90
2023-01-02,70
2023-01-02,60
2023-01-02,80
2023-01-02,100
2023-01-02,130
2023-01-02,150
2023-01-02,170
2023-01-02,190
2023-01-02,210
2023-01-02,230
2023-01-02,220
2023-01-02,200
2023-01-02,180
2023-01-02,160
2023-01-02,140
2023-01-02,120
2023-01-02,100
2023-01-02,80
2023-01-02,60
2023-01-02,40
2023-01-02,20
